familia,activo,borrado,total_original
Felidae,227,137,364
Thamnophilidae,274,0,274
Tinamidae,215,13,228
Mustelidae,194,16,210
Psittacidae,208,2,210
Atelidae,191,2,193
Canidae,163,28,191
Columbidae,168,7,175
Cracidae,161,0,161
Didelphidae,131,9,140
Procyonidae,97,43,140
Cardinalidae,140,0,140
Leporidae,129,8,137
Caprimulgidae,129,5,134
Turdidae,129,4,133
Myrmecophagidae,112,18,130
Thraupidae,129,0,129
Cervidae,110,7,117
Tyrannidae,102,2,104
Tayassuidae,86,2,88
Odontophoridae,76,4,80
Suidae,69,11,80
Strigidae,77,1,78
Tapiridae,28,46,74
Conopophagidae,73,0,73
Caviidae,68,2,70
Bucconidae,70,0,70
Cebidae,70,0,70
Chelidae,70,0,70
Teiidae,69,1,70
Corvidae,70,0,70
Dasypodidae,64,6,70
Ramphastidae,70,0,70
Pipridae,69,1,70
Rallidae,70,0,70
Dasyproctidae,69,1,70
Momotidae,69,1,70
Furnariidae,63,0,63
Parulidae,58,0,58
Chlamyphoridae,48,4,52
Picidae,42,0,42
Formicariidae,39,0,39
Cuniculidae,24,1,25
Grallariidae,25,0,25
Echimyidae,17,0,17
